Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
Snyder_PHA-4_YA_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	larva: newly molted young adult hermaphrodite	2010-01-20	2011-02-18	released	3161	GSE25799, GSM700191, GSM700192, GSM700193, GSM700194, GSM700195, GSM700196, GSM700197	Snyder_PHA-4_GFP_YA_rep2.GFF3, Snyder_PHA-4_GFP_YA_combined_peaks.GFF3, Snyder_PHA-4_GFP_YA_rep1.GFF3
SDQ4051_LEM2_SP646_MXEMB_SP646	Lieb	Lieb	ChIP-chip	chromatin	Y	Target=lem-2;AbName=SDQ4051_LEM2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		SP646	whole organism	embryo: proliferating embryo	2010-08-24	2011-02-04	released	3164	GSE26202, GSM644513, GSM644514	SDQ4051_LEM2_SP646_MXEMB_2_A_SP646_KI1802_peaks.gff3
SDQ3891_LEM2_VC1317_MXEMB	Lieb	Lieb	ChIP-chip	chromatin	Y	Target=lem-2;AbName=SDQ3891_LEM2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		VC1317	whole organism	embryo: proliferating embryo	2010-08-24	2011-01-31	released	3165	GSE26203, GSM644515	computed_peaks/SDQ3891_LEM2_VC1317_MXEMB_1_A_VC1317_KI1761_peaks.gff3
SDQ4051_LEM2_N2_MXEMB	Lieb	Lieb	ChIP-chip	bindin_site, chromatin	Y	Target=lem-2;AbName=SDQ4051_LEM2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-08-24	2011-01-31	released	3166	GSE26204, GSM644516	SDQ4051_LEM2_N2_MXEMB_1_A_EE6_peaks.gff
HK00013_H3K27ME3:1E7_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=HK00013 H3K27me3:1E7:JL:1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-08-25	2011-02-04	released	3171	GSE26180, GSM644517, GSM644518	computed_peaks/HK00013_H3K27ME31E7_N2_EEMB_2_OID22177_DS_peaks.gff3, computed_peaks/HK00013_H3K27ME31E7_N2_EEMB_1_OID21380_peaks.gff3, computed_peaks/HK00013_H3K27ME31E7_N2_EEMB_1_OID21380+2_OID22177_DS_peaks.gff3
embryo_0hr_reference_tiling_array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	embryonic cell, organism	embryo: embryo	2010-08-26	2010-09-07	released	3172	GSE25350, GSM624418, GSM624419, GSM624420	emb-0hr-ref-v2_tars_maxgap30_minrun100_thresh6.75.gff3
embryo_AVE_neurons_tiling_array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1750	AVE	embryo: embryo	2010-08-26	2010-09-08	released	3173	GSE25351, GSM624421, GSM624422, GSM624423	emb-AVE_tars_maxgap30_minrun100_thresh8.17.gff3
AM39379_H3K36AC29108001_N2_EEMB	Lieb	Strome	ChIP-chip	RNA profiling		Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-02		reviewing	3178		computed_peaks/AM39379_H3K36AC29108001_N2_EEMB_2_OID29991_peaks.gff3, computed_peaks/AM39379_H3K36AC29108001_N2_EEMB_1_OID27924_peaks.gff3, computed_peaks/AM39379_H3K36AC29108001_N2_EEMB_1_OID27924+2_OID29991_peaks.gff3
UP07448_H3K27ME124439_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=UP07448_H3K27me1:24439;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-02	2011-02-04	released	3179	GSE26178, GSM656310, GSM656311	computed_peaks/UP07448_H3K27ME124439_N2_EEMB_1_OID26641+2_OID27924_peaks.gff3, computed_peaks/UP07448_H3K27ME124439_N2_EEMB_1_OID26641_peaks.gff3, computed_peaks/UP07448_H3K27ME124439_N2_EEMB_2_OID27924_peaks.gff3
TJ00001_H3K27ME18835_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=TJ00001 H3K27me1:8835;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-03	2011-05-17	released	3180		computed_peaks/TJ00001_H3K27ME18835_N2_EEMB_1_OID27095_peaks.gff3, computed_peaks/TJ00001_H3K27ME18835_N2_EEMB_2_OID27095_peaks.gff3, computed_peaks/TJ00001_H3K27ME18835_N2_EEMB_1_OID27095+2_OID27095_peaks.gff3
AB15823_H4K8AC487128_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-1;AbName=ab15823-H4K8ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-03	2011-05-02	released	3181	GSE26184, GSM646547, GSM646548	computed_peaks/AB15823_H4K8AC487128_N2_EEMB_1_OID28964+2_OID29991_peaks.gff3, computed_peaks/AB15823_H4K8AC487128_N2_EEMB_2_OID29991_peaks.gff3, computed_peaks/AB15823_H4K8AC487128_N2_EEMB_1_OID28964_peaks.gff3
MP07329_H4K16ACDAM1612187_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-1;AbName=MP07-329_H4K16ac:DAM1612187;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-03	2011-05-17	released	3182	GSE26185, GSM646549, GSM646550	computed_peaks/MP07329_H4K16ACDAM1612187_N2_EEMB_2_OID27095_peaks.gff3, computed_peaks/MP07329_H4K16ACDAM1612187_N2_EEMB_1_OID25717_peaks.gff3, computed_peaks/MP07329_H4K16ACDAM1612187_N2_EEMB_1_OID25717+2_OID27095_peaks.gff3
DISN147_H4K20ME1001_N2_LTEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-1;AbName=DISN147_H4K20me1:001;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: comma embryo, elongating embryo, gastrulating embryo, late cleavage stage embryo	2010-09-17	2011-02-04	released	3196	GSE27779, GSM686616, GSM686617	computed_peaks/DISN147_H4K20ME1001_N2_LTEMB_2_OID30311_peaks.gff3, computed_peaks/DISN147_H4K20ME1001_N2_LTEMB_1_OID30311_peaks.gff3, computed_peaks/DISN147_H4K20ME1001_N2_LTEMB_1_OID30311+2_OID30311_peaks.gff3
WA30534819_H3K4ME3_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=WA305-34819 H3K4me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-22	2011-05-02	released	3197		WA30534819_H3K4ME3_N2_EEMB_3_OID26226_peaks.gff, WA30534819_H3K4ME3_N2_EEMB_2_OID22177_DS_peaks.gff, WA30534819_H3K4ME3_N2_EEMB_2_OID22177+3_OID26226_peaks.gff
WA30834809_H3K4ME2_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=WA308-34809_H3K4me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-22	2011-05-02	released	3198		WA30834809_H3K4ME2_N2_EEMB_2_OID22177_DS_peaks.gff, WA30834809_H3K4ME2_N2_EEMB_2_OID22177_3_OID26641_peaks.gff, WA30834809_H3K4ME2_N2_EEMB_3_OID26641_peaks.gff
MP07030_H3K4ME2DAM1570816_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=MP07030_H3K4me2:DAM157816;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-22	2011-05-17	released	3199		MP07030_H3K4ME2_DAM1570816_N2_EEMB_2_OID29991_peaks.gff, MP07030_H3K4ME2_DAM1570816_N2_EEMB_1_OID25717+2_OID29991_peaks.gff, MP07030_H3K4ME2_DAM1570816_N2_EEMB_1_OID25717_peaks.gff
WA30634849_H3K27AC_N2_EEMB	Lieb	Strome	ChIP-chip	chromatin		Target=his-2;AbName=WA306-34849_H3K27ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-09-22	2011-05-02	released	3200		WA30634849_H3K27AC_N2_EEMB_2_OID27095_peaks.gff, WA30634849_H3K27AC_N2_EEMB_1_OID25717_peaks.gff, WA30634849_H3K27AC_N2_EEMB_1_OID25717_2_OID27095_peaks.gff
AB2886_H3K79ME1361912_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB2886 H3K79me1:361912;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-10-08	2011-01-31	released	3202	GSE26327, GSM646551, GSM646552	computed_peaks/AB2886_H3K79ME1361912_N2_MXEMB_1_EE4+2_peaks.gff3, computed_peaks/AB2886_H3K79ME1361912_N2_MXEMB_2_peaks.gff3, computed_peaks/AB2886_H3K79ME1361912_N2_MXEMB_1_EE4_peaks.gff3
UP07448_H3K27ME124439_N2_L3	Lieb	Ahringer	ChIP-chip	chromatin		Target=his-2;AbName=UP07448_H3K27me1:24439;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-10-08	2011-02-04	released	3203	GSE26179, GSM646553, GSM646554	computed_peaks/UP07448_H3K27ME124439_N2_L3_1_peaks.gff3, computed_peaks/UP07448_H3K27ME124439_N2_L3_1+2_peaks.gff3, computed_peaks/UP07448_H3K27ME124439_N2_L3_2_peaks.gff3
AB3594_H3K79ME2346021_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB3594 H3K79me2:346021;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-10-08	2011-01-31	released	3204	GSE27780, GSM686618, GSM686619	computed_peaks/AB3594_H3K79ME2346021_N2_MXEMB_1_EE4+2_peaks.gff3, computed_peaks/AB3594_H3K79ME2346021_N2_MXEMB_1_EE4_peaks.gff3, computed_peaks/AB3594_H3K79ME2346021_N2_MXEMB_2_peaks.gff3
AB9048_H3K36ME1206009_N2_L3	Lieb	Ahringer	ChIP-chip	chromatin		Target=his-2;AbName=ab9048_H3K36me1:206009;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-10-11	2011-01-26	released	3205	GSE26181, GSM646555, GSM646556	computed_peaks/AB9048_H3K36ME1206009_N2_L3_1_ME5_peaks.gff3, computed_peaks/AB9048_H3K36ME1206009_N2_L3_1_ME5+2_ME6_peaks.gff3, computed_peaks/AB9048_H3K36ME1206009_N2_L3_2_ME6_peaks.gff3
AB1791_H3_N2_L3	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-10-11	2011-05-17	released	3206		computed_peaks/AB1791_H3_N2_L3_1+2_DCC_peaks.gff3, computed_peaks/AB1791_H3_N2_L3_1_peaks.gff3, computed_peaks/AB1791_H3_N2_L3_2_DCC_peaks.gff3
Snyder_PHA-4_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	larva: L3 larva	2010-10-18		reviewing	3215	GSE29461, GSM729296, GSM729297, GSM729298, GSM729299	Snyder_PHA-4_GFP_L3_rep1.GFF3, Snyder_PHA-4_GFP_L3_combined.GFF3, Snyder_PHA-4_GFP_L3_rep2.GFF3
Snyder_TLP-1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=tlp-1;AbName=eGFP	3		Caenorhabditis elegans		TLP-1	whole organism	larva: L1 larva	2010-10-18		reviewing	3216	GSE29462, GSM729300, GSM729301, GSM729302, GSM729303	Snyder_TLP-1_GFP_L1_rep1.GFF3, Snyder_TLP-1_GFP_L1_rep2.GFF3, Snyder_TLP-1_GFP_L1_combined.GFF3
Snyder_W03F9.2_GFP_YA	Snyder	Snyder	ChIP-seq	chromatin		Target=W03F9.2;AbName=eGFP	3		Caenorhabditis elegans		OP215	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2010-10-18	2011-05-09	released	3217	GSE29463, GSM729304, GSM729305, GSM729306, GSM729307	Snyder_W03F9.2_GFP_YA_rep2.GFF3, Snyder_W03F9.2_GFP_YA_rep1.GFF3, Snyder_W03F9.2_GFP_YA_combined.GFF3
Snyder_ZTF-4_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=ztf-4;AbName=eGFP	3		Caenorhabditis elegans		ZTF-4	whole organism	larva: L3 larva	2010-10-18		reviewing	3218	GSE29464, GSM729308, GSM729309, GSM729310, GSM729311	Snyder_ZTF-4_GFP_L3_rep1.GFF3, Snyder_ZTF-4_GFP_L3_combined.GFF3, Snyder_ZTF-4_GFP_L3_rep2.GFF3
Snyder_ZTF-7_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=ztf-7;AbName=eGFP	3		Caenorhabditis elegans		ZTF-7	whole organism	larva: L4 larva	2010-10-18		reviewing	3219	GSE29465, GSM729312, GSM729313, GSM729314, GSM729315	Snyder_ZTF-7_GFP_L4_rep1.GFF3, Snyder_ZTF-7_GFP_L4_combined.GFF3, Snyder_ZTF-7_GFP_L4_rep2.GFF3
Snyder_ZAG-1_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=zag-1;AbName=eGFP	3		Caenorhabditis elegans		OP83	whole organism	larva: L2 larva	2010-10-22	2011-03-24	released	3220	GSE29466, GSM729316, GSM729317, GSM729318, GSM729319	Snyder_ZAG-1_GFP_L2_rep1.GFF3, Snyder_ZAG-1_GFP_L2_combined.GFF3, Snyder_ZAG-1_GFP_L2_rep2.GFF3
Snyder_CES-1_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=ces-1;AbName=eGFP	3		Caenorhabditis elegans		OP174	whole organism	larva: L4 larva	2010-10-22	2011-03-24	released	3221	GSE29467, GSM729320, GSM729321, GSM729322, GSM729323	Snyder_CES-1_GFP_L4_rep1.GFF3, Snyder_CES-1_GFP_L4_combined.GFF3, Snyder_CES-1_GFP_L4_rep2.GFF3
Snyder_UNC-62_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=unc-62;AbName=eGFP	3		Caenorhabditis elegans		OP600	whole organism	larva: L3 larva	2010-10-22	2011-03-24	released	3222	GSE29468, GSM729324, GSM729325, GSM729326, GSM729327	Snyder_UNC-62_GFP_L3_rep2.GFF3, Snyder_UNC-62_GFP_L3_combined.GFF3, Snyder_UNC-62_GFP_L3_rep1.GFF3
Snyder_NHR-28_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=nhr-28;AbName=eGFP	3		Caenorhabditis elegans		OP317	whole organism	larva: L4 larva	2010-10-22	2011-03-24	released	3223	GSE29469, GSM729328, GSM729329, GSM729330, GSM729331	Snyder_NHR-28_GFP_L4_rep2.GFF3, Snyder_NHR-28_GFP_L4_rep1.GFF3, Snyder_NHR-28_GFP_L4_combined.GFF3
Snyder_FOS-1_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=fos-1;AbName=eGFP	3		Caenorhabditis elegans		OP304	whole organism	larva: L2 larva	2010-10-22	2011-03-24	released	3224	GSE29470, GSM729332, GSM729333, GSM729334, GSM729335	Snyder_FOS-1_GFP_L2_combined.GFF3, Snyder_FOS-1_GFP_L2_rep2.GFF3, Snyder_FOS-1_GFP_L2_rep1.GFF3
Snyder_UNC-62_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=unc-62;AbName=eGFP	3		Caenorhabditis elegans		OP600	whole organism	larva: L2 larva	2010-10-31	2011-05-03	released	3254	GSE29471, GSM729336, GSM729337, GSM729338, GSM729339	Snyder_UNC-62_GFP_L2_rep2.GFF3, Snyder_UNC-62_GFP_L2_combined.GFF3, Snyder_UNC-62_GFP_L2_rep1.GFF3
Mononucleosomes_DH245_AD	Lieb	Lieb	DNA-seq	signal data			2		Caenorhabditis elegans		DH245	whole organism	larva: newly molted young adult hermaphrodite	2010-11-03	2011-01-31	released	3276	GSE20136	
Transcription Start Site Confirmation 2010-11-24	Waterston	Green	RACE	gene model		Reactions=1239	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2010-11-24	2010-12-02	released	3312		set.20101124.2_3_2_2_4_3_3_2_4_4.ws180.gff
AB2886_H3K79ME1_361912_N2_L3	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB2886 H3K79me1:361912;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-12-02	2011-01-31	released	3320	GSE27781, GSM686620, GSM686621	AB2886_H3K79ME1_361912_N2_L3_2_A_peaks.gff, AB2886_H3K79ME1_361912_N2_L3_1_A_peaks.gff, AB2886_H3K79ME1_361912_N2_L3_1_A+2_A_peaks.gff
AB3594_H3K79ME2_346021_N2_L3	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB3594 H3K79me2:346021;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-12-02	2011-01-31	released	3321	GSE26182, GSM656312, GSM656313	AB3594_H3K79ME2_346021_N2_L3_1_A_peaks.gff, AB3594_H3K79ME2_346021_N2_L3_1_A+2_A_peaks.gff, AB3594_H3K79ME2_346021_N2_L3_2_A_peaks.gff
AB2621_H3K79ME3_361576_N2_L3	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB2621 H3K79me3:361576;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-12-02	2011-05-17	released	3322	GSE26183, GSM656314, GSM656315	AB2621_H3K79ME3_361576_N2_L3_1_A+2_A_peaks.gff, AB2621_H3K79ME3_361576_N2_L3_2_A_peaks.gff, AB2621_H3K79ME3_361576_N2_L3_1_A_peaks.gff
Untreated_Control_Day1_wt	Waterston	Slack	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-12-13	2010-12-21	released	3326	GSM632210, SRR077254	
Heatshock_Day1_wt_32dC6hrs smallRNA-seq	Waterston	Slack	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-12-13	2010-12-21	released	3327	GSM632211, SRR077255	
PA14_Day1_wt_12hrs	Waterston	Slack	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-12-13	2010-12-21	released	3328	GSM632212, SRR077256	
L1_arrest_wt_48hrs	Waterston	Slack	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2010-12-13	2010-12-21	released	3329	GSM632213, SRR077257	
ChIP-seq ALR1_L2_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-02-11	released	3330		ALR1.gff3
ChIP-seq BLMP1_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14		uploaded	3331		BLMP1.gff3
ChIP-seq CEH14_L2_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14		reviewing	3332		CEH14_L2.gff3
ChIP-seq CEH30_Late_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14		reviewing	3333		CEH30_Late_EMB_peaks.gff3
ChIP-seq DPY27_EMB_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14		reviewing	3334		DPY27.gff3
ChIP-seq EGL27_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3335		EGL27.gff3
ChIP-seq EGL5_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3336		EGL-5.gff3
ChIP-seq ELT3_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3337		ELT3.gff3
ChIP-seq EOR1_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3338		EOR1.gff3
ChIP-seq GEI11_L4_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3339		GEI11_L4.gff3
ChIP-seq HLH1_EMB_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3340		HLH1_EMB.gff3
ChIP-seq LIN11_L2_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3341		LIN11_L2.gff3
ChIP-seq LIN13_EMB_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-03-09	released	3342		LIN13_EMB.gff3
ChIP-seq LIN15B_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3343		LIN15_L3.gff3
ChIP-seq LIN39_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-07-25	released	3344		LIN39_L3.gff3
ChIP-seq MAB5_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3345		MAB5_L3.gff3
ChIP-seq MDL1_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3346		MDL1_L1.gff3
ChIP-seq MEP1_EMB_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3347		MEP1_EMB.gff3
ChIP-seq PES1_L4_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3348		PES1_L4.gff3
ChIP-seq PHA4_EMB_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3349		PHA4_EMB.gff3
ChIP-seq PHA4_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3350		PHA4_L1.gff3
ChIP-seq PHA4_L2_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3351		PHA4_L2.gff3
ChIP-seq PHA4_Late_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3352		PHA4_LE.gff3
ChIP-seq PHA4_Starved_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3353		PHA4_STARVED.gff3
ChIP-seq PHA4_YA_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3354		PHA4_YA.gff3
ChIP-seq PQM1_L3_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3355		PQM1.gff3
ChIP-seq SKN1_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-10	released	3356		SKN1.gff3
ChIP-seq UNC130_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14	2011-05-09	released	3357		UNC130.gff3
JL00006_ZFP1_RB774_MXEMB	Lieb	Lieb	ChIP-chip	chromatin	Y	Target=zfp-1;AbName=JL00006_ZFP1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2011-01-10	2011-01-26	released	3361	GSE27782, GSM686622	JL00006_ZFP1_RB774_MXEMB_1_A_13805901_peaks.gff
Snyder_C01B12.2_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=C01B12.2;AbName=eGFP	3		Caenorhabditis elegans		OP343	whole organism	larva: L2 larva	2011-01-11	2011-03-24	released	3371	GSE29472, GSM729340, GSM729341, GSM729342, GSM729343	Snyder_C01B12.2_GFP_L2_combined.GFF3, Snyder_C01B12.2_GFP_L2_rep2.GFF3, Snyder_C01B12.2_GFP_L2_rep1.GFF3
Snyder_EOR-1_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=eor-1;AbName=eGFP	3		Caenorhabditis elegans		OP81	whole organism	larva: L3 larva	2011-01-11	2011-03-24	released	3372	GSE29473, GSM729344, GSM729345, GSM729346, GSM729347	Snyder_EOR-1_GFP_L3_combined.GFF3, Snyder_EOR-1_GFP_L3_rep2.GFF3, Snyder_EOR-1_GFP_L3_rep1.GFF3
Snyder_NHR-6v2_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=nhr-6;AbName=eGFP	3		Caenorhabditis elegans		OP90	whole organism	larva: L2 larva	2011-01-11	2011-05-03	released	3374	GSE29474, GSM729348, GSM729349, GSM729350, GSM729351	Snyder_NHR-6v2_GFP_L2_rep2.GFF3, Snyder_NHR-6v2_GFP_L2_rep1.GFF3, Snyder_NHR-6v2_GFP_L2_combined.GFF3
Snyder_UNC-62_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=unc-62;AbName=eGFP	3		Caenorhabditis elegans		OP600	whole organism	larva: L1 larva	2011-01-13	2011-03-24	released	3375	GSE29475, GSM729352, GSM729353, GSM729354, GSM729355	Snyder_UNC-62_GFP_L1_rep1.GFF3, Snyder_UNC-62_GFP_L1_rep2.GFF3, Snyder_UNC-62_GFP_L1_combined.GFF3
Snyder_ZAG-1_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=zag-1;AbName=eGFP	3		Caenorhabditis elegans		OP83	whole organism	larva: L3 larva	2011-01-13	2011-03-24	released	3376	GSE29476, GSM729356, GSM729357, GSM729358, GSM729359	Snyder_ZAG-1_GFP_L3_rep2.GFF3, Snyder_ZAG-1_GFP_L3_rep1.GFF3, Snyder_ZAG-1_GFP_L3_combined.GFF3
Snyder_ZAG-1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=zag-1;AbName=eGFP	3		Caenorhabditis elegans		OP83	whole organism	larva: L1 larva	2011-01-13	2011-03-24	released	3377	GSE29477, GSM729360, GSM729361, GSM729362, GSM729363	Snyder_ZAG-1_GFP_L1_rep2.GFF3, Snyder_ZAG-1_GFP_L1_combined.GFF3, Snyder_ZAG-1_GFP_L1_rep1.GFF3
